Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tubermass ,shoot,root,root:shoot,root:shoot_2,total_biomass
Cor C. 135-15,Cor C 135,chil,3,3,2,High,Hancock,3,80,1,,13.22,15.64,2.95,0.188618926,0.102217602,31.81
Cor C.56-18,Cor C56,chil,3,3,2,Low,Virgin,2,81,1,,30.2,3.19,1.92,0.601880878,0.057502246,35.31
P. Cacho-9,P. Cacho,chil,3,3,2,Low,Hancock,1,82,1,,66.62,5.18,1.25,0.241312741,0.017409471,73.05
P. Cacho-20,P. Cacho,chil,3,3,2,Low,Virgin,4,95,1,,86.24,5.68,2.06,0.362676056,0.022410792,93.98
P. Cacho-8,P. Cacho,chil,3,3,2,High,Sterile,4,100,2,,22.34,26.68,21.16,0.793103448,0.431660547,70.18
Cor C.95-3,Cor C95,chil,3,3,2,Low,Sterile,3,102,2,,45.34,3.03,3.54,1.168316832,0.073185859,51.91
P. Cacho-24,P. Cacho,chil,3,3,2,High,Virgin,4,123,2,,49.96,28.28,12.97,0.458628006,0.165771984,91.21
Cor C.95-19,Cor C95,chil,3,3,2,Low,Virgin,3,124,2,,59.62,5.07,2.35,0.463510848,0.036327098,67.04
Cor C. 135-4,Cor C 135,chil,3,3,2,Low,Sterile,4,127,2,,11.96,1.88,0.32,0.170212766,0.023121387,14.16
Cor C. 135-12,Cor C 135,chil,3,3,2,Low,Hancock,4,128,2,,15.77,3.71,0.35,0.094339623,0.017967146,19.83
Cor C.56-17,Cor C56,chil,3,3,2,Low,Virgin,1,130,2,,47.77,5.63,2.75,0.488454707,0.051498127,56.15
Cor C.56-4,Cor C56,chil,3,3,2,Low,Sterile,4,138,2,,30.5,9.77,2.6,0.266120778,0.064564192,42.87
P. Cacho-10,P. Cacho,chil,3,3,2,Low,Hancock,2,141,2,,100.78,7.41,0.95,0.128205128,0.008780849,109.14
Cor C.56-16,Cor C56,chil,3,3,2,High,Hancock,4,143,2,,82.8,53.2,11.04,0.207518797,0.081176471,147.04
Cor C. 135-18,Cor C 135,chil,3,3,2,Low,Virgin,2,146,2,,16.23,2.9,0.85,0.293103448,0.044432828,19.98
Cor C.95-16,Cor C95,chil,3,3,2,High,Hancock,4,150,2,,0,44.45,28.04,0.630821147,0.630821147,72.49
Cor C.56-7,Cor C56,chil,3,3,2,High,Sterile,3,154,2,,29.54,33.33,7.78,0.233423342,0.123747415,70.65
Cor C.95-22,Cor C95,chil,3,3,2,High,Virgin,2,160,2,Flowering,0,44.49,26.14,0.587547764,0.587547764,70.63
Cor C.95-10,Cor C95,chil,3,3,2,Low,Hancock,2,175,3,,96.12,6.79,2.11,0.310751105,0.020503352,105.02
Cor C.95-21,Cor C95,chil,3,3,2,High,Virgin,1,177,3,,0,47.66,22.78,0.477968947,0.477968947,70.44
Cor C. 135-16,Cor C 135,chil,3,3,2,High,Hancock,4,182,3,,29.44,15.88,3.31,0.208438287,0.073036187,48.63
Cor C.56-20,Cor C56,chil,3,3,2,Low,Virgin,4,187,3,,84.02,5.55,3.81,0.686486486,0.042536564,93.38
Cor C.95-20,Cor C95,chil,3,3,2,Low,Virgin,4,188,3,,116.25,5.98,6.63,1.108695652,0.054242003,128.86
Cor C.56-10,Cor C56,chil,3,3,2,Low,Hancock,2,191,3,,59.84,4,1.53,0.3825,0.023966165,65.37
Cor C.56-5,Cor C56,chil,3,3,2,High,Sterile,1,196,3,,74.15,38.24,7.91,0.206851464,0.070379927,120.3
Cor C. 135-21,Cor C 135,chil,3,3,2,High,Virgin,1,203,3,,53.95,23.63,5.41,0.228946255,0.069734468,82.99
Cor C. 135-3,Cor C 135,chil,3,3,2,Low,Sterile,3,212,3,,39.38,2.48,2.1,0.846774194,0.050167224,43.96
Cor C.56-15,Cor C56,chil,3,3,2,High,Hancock,3,224,3,,51.25,36.87,20.56,0.557634934,0.233318202,108.68
Cor C.56-11,Cor C56,chil,3,3,2,Low,Hancock,3,225,3,,81.3,4.41,2.73,0.619047619,0.031851593,88.44
Cor C. 135-8,Cor C 135,chil,3,3,2,High,Sterile,4,241,3,,11.12,27.39,8.48,0.309602045,0.220202545,46.99
Cor C.95-13,Cor C95,chil,3,3,2,High,Hancock,1,244,3,,0,46.57,16.63,0.357096843,0.357096843,63.2
Cor C.95-8,Cor C95,chil,3,3,2,High,Sterile,4,251,3,,0,37.22,58.72,1.577646427,1.577646427,95.94
